transaction_id,customer_id,decline_reason,decline_bucket,amount_inr,payment_method,failure_timestamp,hour_of_day,day_of_month,day_of_week,retry_attempt_number,candidate_retry_hours,customer_previous_success_rate,customer_previous_failure_count,days_since_last_successful_payment,retry_success
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,1,0.25,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,2,0.5,0.6666666666666666,1,1.34,1
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,3,1.0,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,4,2.0,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,5,4.0,0.6666666666666666,1,1.34,1
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,6,6.0,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,7,12.0,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,8,24.0,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,9,48.0,0.6666666666666666,1,1.34,0
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,Credit Card,2026-04-09 12:06:35+05:30,12,9,3,10,72.0,0.6666666666666666,1,1.34,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,1,0.25,1.0,0,13.081,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,2,0.5,1.0,0,13.081,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,3,1.0,1.0,0,13.081,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,4,2.0,1.0,0,13.081,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,5,4.0,1.0,0,13.081,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,6,6.0,1.0,0,13.081,0
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,UPI,2026-05-26 19:19:39+05:30,19,26,1,7,12.0,1.0,0,13.081,0
