transaction_id,customer_id,decline_reason,decline_bucket,amount_inr,eligible_for_baseline,scheduled_retry_hours,attempted_retry_count,recovered,successful_retry_hours,recovery_status,recovered_inr,lost_inr
TX000001,C00322,gateway_technical_error,SOFT_RETRY,1685.44,True,24|48|72,3,False,,lost,0.0,1685.44
TX000002,C00716,payment_cancelled,HARD_FAILURE,19681.72,False,,0,False,,not_eligible,0.0,19681.72
TX000003,C00151,card_declined,SOFT_RETRY,1347.54,True,24|48|72,3,False,,lost,0.0,1347.54
TX000004,C01637,gateway_technical_error,SOFT_RETRY,546.69,True,24|48|72,1,True,24.0,recovered,546.69,0.0
TX000005,C00989,payment_timed_out,SOFT_RETRY,1053.88,True,24|48|72,3,False,,lost,0.0,1053.88
TX000006,C01397,card_not_enrolled,HARD_FAILURE,12156.83,False,,0,False,,not_eligible,0.0,12156.83
TX000007,C00949,payment_timed_out,SOFT_RETRY,709.19,True,24|48|72,3,False,,lost,0.0,709.19
TX000008,C00752,payment_timed_out,SOFT_RETRY,6400.97,True,24|48|72,3,False,,lost,0.0,6400.97
TX000009,C00854,payment_timed_out,SOFT_RETRY,350.39,True,24|48|72,3,False,,lost,0.0,350.39
TX000010,C00146,payment_risk_check_failed,DO_NOT_RETRY,17660.43,False,,0,False,,not_eligible,0.0,17660.43
TX000011,C01587,debit_instrument_blocked,HARD_FAILURE,803.35,False,,0,False,,not_eligible,0.0,803.35
TX000012,C00240,insufficient_funds,SOFT_RETRY,2585.77,True,24|48|72,1,True,24.0,recovered,2585.77,0.0
TX000013,C01794,bank_technical_error,SOFT_RETRY,376.02,True,24|48|72,3,False,,lost,0.0,376.02
TX000014,C00037,payment_declined_due_to_high_traffic,SOFT_RETRY,966.2,True,24|48|72,3,False,,lost,0.0,966.2
TX000015,C00636,server_error,SOFT_RETRY,780.94,True,24|48|72,3,False,,lost,0.0,780.94
TX000016,C00117,insufficient_funds,SOFT_RETRY,1309.18,True,24|48|72,1,True,24.0,recovered,1309.18,0.0
TX000017,C01622,insufficient_funds,SOFT_RETRY,25306.69,True,24|48|72,2,True,48.0,recovered,25306.69,0.0
TX000018,C00139,card_declined,SOFT_RETRY,375.45,True,24|48|72,3,False,,lost,0.0,375.45
TX000019,C01126,debit_instrument_inactive,HARD_FAILURE,1681.66,False,,0,False,,not_eligible,0.0,1681.66
TX000020,C00009,gateway_technical_error,SOFT_RETRY,1233.65,True,24|48|72,3,False,,lost,0.0,1233.65
TX000021,C00697,transaction_limit_exceeded,SOFT_RETRY,13128.1,True,24|48|72,3,False,,lost,0.0,13128.1
TX000022,C01473,payment_declined_due_to_high_traffic,SOFT_RETRY,19319.69,True,24|48|72,3,False,,lost,0.0,19319.69
TX000023,C01538,card_expired,HARD_FAILURE,380.89,False,,0,False,,not_eligible,0.0,380.89
TX000024,C01422,incorrect_cvv,HARD_FAILURE,14212.3,False,,0,False,,not_eligible,0.0,14212.3
TX000025,C01420,payment_timed_out,SOFT_RETRY,12529.93,True,24|48|72,1,True,24.0,recovered,12529.93,0.0
TX000026,C01628,debit_instrument_blocked,HARD_FAILURE,5333.92,False,,0,False,,not_eligible,0.0,5333.92
TX000027,C00079,incorrect_cvv,HARD_FAILURE,1153.39,False,,0,False,,not_eligible,0.0,1153.39
TX000028,C01539,incorrect_card_details,HARD_FAILURE,364.35,False,,0,False,,not_eligible,0.0,364.35
TX000029,C01674,debit_instrument_inactive,HARD_FAILURE,497.36,False,,0,False,,not_eligible,0.0,497.36
TX000030,C00131,payment_risk_check_failed,DO_NOT_RETRY,866.6,False,,0,False,,not_eligible,0.0,866.6
TX000031,C01523,card_declined,SOFT_RETRY,1258.72,True,24|48|72,3,False,,lost,0.0,1258.72
TX000032,C00237,payment_declined_due_to_high_traffic,SOFT_RETRY,1380.9,True,24|48|72,3,False,,lost,0.0,1380.9
TX000033,C01458,card_expired,HARD_FAILURE,19041.99,False,,0,False,,not_eligible,0.0,19041.99
TX000034,C00247,card_declined,SOFT_RETRY,68836.47,True,24|48|72,3,False,,lost,0.0,68836.47
TX000035,C01610,card_declined,SOFT_RETRY,16673.25,True,24|48|72,3,False,,lost,0.0,16673.25
TX000036,C01234,issuer_technical_error,SOFT_RETRY,9682.16,True,24|48|72,3,False,,lost,0.0,9682.16
TX000037,C01401,card_declined,SOFT_RETRY,612.64,True,24|48|72,3,False,,lost,0.0,612.64
TX000038,C01933,gateway_technical_error,SOFT_RETRY,342.61,True,24|48|72,3,False,,lost,0.0,342.61
TX000039,C00774,insufficient_funds,SOFT_RETRY,648.07,True,24|48|72,2,True,48.0,recovered,648.07,0.0
TX000040,C00393,payment_declined_due_to_high_traffic,SOFT_RETRY,623.46,True,24|48|72,3,False,,lost,0.0,623.46
TX000041,C01182,transaction_daily_limit_exceeded,SOFT_RETRY,3143.92,True,24|48|72,1,True,24.0,recovered,3143.92,0.0
TX000042,C01734,debit_instrument_inactive,HARD_FAILURE,3566.91,False,,0,False,,not_eligible,0.0,3566.91
TX000043,C00675,insufficient_funds,SOFT_RETRY,5000.0,True,24|48|72,2,True,48.0,recovered,5000.0,0.0
TX000044,C01415,card_expired,HARD_FAILURE,66932.44,False,,0,False,,not_eligible,0.0,66932.44
TX000045,C00034,card_expired,HARD_FAILURE,455.2,False,,0,False,,not_eligible,0.0,455.2
TX000046,C00647,transaction_limit_exceeded,SOFT_RETRY,15852.78,True,24|48|72,1,True,24.0,recovered,15852.78,0.0
TX000047,C00609,payment_timed_out,SOFT_RETRY,12987.58,True,24|48|72,3,False,,lost,0.0,12987.58
TX000048,C00916,incorrect_cvv,HARD_FAILURE,309.37,False,,0,False,,not_eligible,0.0,309.37
TX000049,C01217,transaction_limit_exceeded,SOFT_RETRY,14022.59,True,24|48|72,3,False,,lost,0.0,14022.59
TX000050,C00161,card_expired,HARD_FAILURE,5253.4,False,,0,False,,not_eligible,0.0,5253.4
TX000051,C00718,transaction_daily_limit_exceeded,SOFT_RETRY,1473.47,True,24|48|72,2,True,48.0,recovered,1473.47,0.0
TX000052,C01416,payment_cancelled,HARD_FAILURE,1111.43,False,,0,False,,not_eligible,0.0,1111.43
TX000053,C00361,insufficient_funds,SOFT_RETRY,9300.03,True,24|48|72,1,True,24.0,recovered,9300.03,0.0
TX000054,C00936,payment_declined_due_to_high_traffic,SOFT_RETRY,1082.91,True,24|48|72,3,False,,lost,0.0,1082.91
TX000055,C01408,issuer_technical_error,SOFT_RETRY,506.32,True,24|48|72,3,False,,lost,0.0,506.32
TX000056,C01789,card_declined,SOFT_RETRY,26084.98,True,24|48|72,1,True,24.0,recovered,26084.98,0.0
TX000057,C01390,payment_timed_out,SOFT_RETRY,290.9,True,24|48|72,3,False,,lost,0.0,290.9
TX000058,C00499,incorrect_card_details,HARD_FAILURE,3380.84,False,,0,False,,not_eligible,0.0,3380.84
