model_probability,mean_predicted_probability,observed_success_rate
uncalibrated,0.18101741283912323,0.05504587155963303
uncalibrated,0.2643609498092854,0.08283717318146518
uncalibrated,0.33762843402923526,0.09332624302047328
uncalibrated,0.44210754017205456,0.18154402895054284
uncalibrated,0.5541501466293056,0.3039959534648457
uncalibrated,0.653576570355545,0.41541541541541543
uncalibrated,0.7355466194883807,0.5
uncalibrated,0.8080645655668806,0.4666666666666667
calibrated_isotonic,0.02622458770348983,0.0814283330552311
calibrated_isotonic,0.15725127378690257,0.1056563500533618
calibrated_isotonic,0.24072970574879515,0.20968122786304605
calibrated_isotonic,0.38150104009279556,0.39115836597649695
calibrated_isotonic,0.45039279427347323,0.4633431085043988
calibrated_isotonic,0.5455700079041162,0.5043630017452007
calibrated_isotonic,0.6512091779688427,0.5016722408026756
calibrated_isotonic,0.7330570634586117,0.48826291079812206
calibrated_isotonic,0.8387975484160215,0.5181347150259067
calibrated_isotonic,0.9620570099395053,0.5
