decline_reason,eligible_transactions,baseline_recovered_transactions,smart_retry_recovered_transactions,baseline_recovered_inr,smart_retry_recovered_inr,incremental_inr,baseline_recovery_rate,smart_retry_recovery_rate
bank_technical_error,577,114,372,640040.39,2454428.35,1814387.96,0.1975736568457539,0.6447140381282496
card_declined,1048,255,354,1478957.74,2043363.32,564405.5800000001,0.2433206106870229,0.3377862595419847
gateway_technical_error,690,132,462,685389.05,2895216.28,2209827.23,0.19130434782608696,0.6695652173913044
insufficient_funds,2152,1501,1106,9051420.79,6569021.05,-2482399.74,0.6974907063197026,0.5139405204460966
issuer_technical_error,486,96,339,472150.34,1735964.28,1263813.94,0.19753086419753085,0.6975308641975309
payment_declined_due_to_high_traffic,417,79,247,376099.58999999997,1334191.23,958091.64,0.18944844124700239,0.592326139088729
payment_timed_out,794,131,503,677766.26,3475384.41,2797618.15,0.16498740554156172,0.6335012594458438
server_error,298,54,172,324122.17,1323174.12,999051.95,0.18120805369127516,0.5771812080536913
transaction_daily_limit_exceeded,505,357,226,2084547.8,1281329.73,-803218.07,0.7069306930693069,0.44752475247524753
transaction_limit_exceeded,504,200,158,1144501.4,912778.28,-231723.12,0.3968253968253968,0.3134920634920635
