selected_retry_hours,eligible_transactions,baseline_recovered_transactions,smart_retry_recovered_transactions,baseline_recovered_inr,smart_retry_recovered_inr,incremental_inr,baseline_recovery_rate,smart_retry_recovery_rate,selection_type,selection_pct
0.25,2150,454,1133,2754535.09,7926143.66,5171608.57,0.2111627906976744,0.5269767441860466,outside_fixed_schedule,0.28777941373310134
0.5,1362,240,855,1100724.27,5029071.36,3928347.09,0.1762114537444934,0.6277533039647577,outside_fixed_schedule,0.182304912327667
1.0,427,82,299,388564.05,1345326.42,956762.37,0.1920374707259953,0.7002341920374707,outside_fixed_schedule,0.05715433007629501
2.0,51,15,39,62393.35,127975.92,65582.57,0.29411764705882354,0.7647058823529411,outside_fixed_schedule,0.00682639539552938
4.0,277,73,90,246054.74,499940.52,253885.78,0.26353790613718414,0.3249097472924188,outside_fixed_schedule,0.037076696560032124
6.0,59,18,31,62621.58,121335.76,58714.18,0.3050847457627119,0.5254237288135594,outside_fixed_schedule,0.007897202516396733
12.0,572,263,311,1618512.8,2128701.6,510188.8,0.4597902097902098,0.5437062937062938,outside_fixed_schedule,0.0765627091420158
24.0,2120,1465,962,8656759.28,5358470.91,-3298288.37,0.6910377358490566,0.4537735849056604,fixed_schedule_time,0.2837638870298487
48.0,421,291,202,1860391.03,1314057.9,-546333.13,0.6912114014251781,0.47980997624703087,fixed_schedule_time,0.056351224735644495
72.0,32,18,17,184439.34,173827.0,-10612.34,0.5625,0.53125,fixed_schedule_time,0.004283228483469415
