transaction_id,amount_inr,decline_reason,payment_method,baseline_selected_schedule,baseline_success,baseline_recovered_inr,smart_retry_selected_hours,smart_retry_probability,smart_retry_confidence,smart_retry_success,smart_retry_recovered_inr,incremental_recovery_inr
TX000001,1685.44,gateway_technical_error,Credit Card,,False,0.0,0.5,0.9428571428571428,High,True,1685.44,1685.44
TX000003,1347.54,card_declined,Debit Card,,False,0.0,12.0,0.03497409326424871,Low,False,0.0,0.0
TX000004,546.69,gateway_technical_error,Net Banking,24.0,True,546.69,0.5,0.6839378238341969,High,True,546.69,0.0
TX000005,1053.88,payment_timed_out,UPI,,False,0.0,1.0,0.40594059405940597,Medium,True,1053.88,1053.88
TX000007,709.19,payment_timed_out,UPI,,False,0.0,1.0,0.40594059405940597,Medium,False,0.0,0.0
TX000008,6400.97,payment_timed_out,UPI,,False,0.0,0.25,0.7404580152671756,High,True,6400.97,6400.97
TX000009,350.39,payment_timed_out,UPI,,False,0.0,1.0,0.8055555555555556,High,True,350.39,350.39
TX000012,2585.77,insufficient_funds,UPI,24.0,True,2585.77,24.0,0.532999164578112,Medium,True,2585.77,0.0
TX000013,376.02,bank_technical_error,UPI,,False,0.0,0.5,0.8238341968911918,High,True,376.02,376.02
TX000014,966.2,payment_declined_due_to_high_traffic,Credit Card,,False,0.0,0.5,0.7035830618892507,High,True,966.2,966.2
TX000015,780.94,server_error,Debit Card,,False,0.0,0.25,0.3890183028286189,Low,False,0.0,0.0
TX000016,1309.18,insufficient_funds,UPI,24.0,True,1309.18,24.0,0.47667804323094426,Medium,True,1309.18,0.0
TX000017,25306.69,insufficient_funds,UPI,48.0,True,25306.69,24.0,0.3890183028286189,Low,False,0.0,-25306.69
TX000018,375.45,card_declined,Debit Card,,False,0.0,12.0,0.12338308457711442,Low,False,0.0,0.0
TX000020,1233.65,gateway_technical_error,Debit Card,,False,0.0,0.5,0.8238341968911918,High,True,1233.65,1233.65
TX000021,13128.1,transaction_limit_exceeded,UPI,,False,0.0,72.0,0.08774193548387096,Low,False,0.0,0.0
TX000022,19319.69,payment_declined_due_to_high_traffic,UPI,,False,0.0,0.5,0.40594059405940597,Medium,False,0.0,0.0
TX000025,12529.93,payment_timed_out,UPI,24.0,True,12529.93,0.25,0.532999164578112,Medium,True,12529.93,0.0
TX000031,1258.72,card_declined,UPI,,False,0.0,0.5,0.09433962264150944,Low,False,0.0,0.0
TX000032,1380.9,payment_declined_due_to_high_traffic,UPI,,False,0.0,0.5,0.44642857142857145,Medium,True,1380.9,1380.9
TX000034,68836.47,card_declined,Debit Card,,False,0.0,0.25,0.12338308457711442,Low,True,68836.47,68836.47
TX000035,16673.25,card_declined,Net Banking,,False,0.0,0.25,0.22814355099838096,Low,False,0.0,0.0
TX000036,9682.16,issuer_technical_error,UPI,,False,0.0,0.5,0.7404580152671756,High,False,0.0,0.0
TX000037,612.64,card_declined,Credit Card,,False,0.0,4.0,0.06426735218508997,Low,False,0.0,0.0
TX000038,342.61,gateway_technical_error,UPI,,False,0.0,0.25,0.7931034482758621,High,False,0.0,0.0
TX000039,648.07,insufficient_funds,Credit Card,48.0,True,648.07,12.0,0.3890183028286189,Low,True,648.07,0.0
TX000040,623.46,payment_declined_due_to_high_traffic,Credit Card,,False,0.0,0.5,0.6390374331550804,High,False,0.0,0.0
TX000041,3143.92,transaction_daily_limit_exceeded,UPI,24.0,True,3143.92,48.0,0.25,Low,False,0.0,-3143.92
TX000043,5000.0,insufficient_funds,UPI,48.0,True,5000.0,24.0,0.3890183028286189,Low,False,0.0,-5000.0
TX000046,15852.78,transaction_limit_exceeded,Debit Card,24.0,True,15852.78,24.0,0.22814355099838096,Low,True,15852.78,0.0
TX000047,12987.58,payment_timed_out,Debit Card,,False,0.0,1.0,0.6839378238341969,High,True,12987.58,12987.58
TX000049,14022.59,transaction_limit_exceeded,UPI,,False,0.0,24.0,0.16798418972332016,Low,False,0.0,0.0
TX000051,1473.47,transaction_daily_limit_exceeded,Net Banking,48.0,True,1473.47,48.0,0.3890183028286189,Low,True,1473.47,0.0
TX000053,9300.03,insufficient_funds,Debit Card,24.0,True,9300.03,24.0,0.47667804323094426,Medium,True,9300.03,0.0
TX000054,1082.91,payment_declined_due_to_high_traffic,Debit Card,,False,0.0,0.25,0.532999164578112,Medium,True,1082.91,1082.91
TX000055,506.32,issuer_technical_error,UPI,,False,0.0,0.5,0.6721311475409836,High,True,506.32,506.32
TX000056,26084.98,card_declined,UPI,24.0,True,26084.98,0.25,0.22814355099838096,Low,False,0.0,-26084.98
TX000057,290.9,payment_timed_out,UPI,,False,0.0,1.0,0.8238341968911918,High,True,290.9,290.9
TX000059,7003.64,card_declined,UPI,,False,0.0,12.0,0.03497409326424871,Low,False,0.0,0.0
TX000061,1513.88,payment_timed_out,Debit Card,48.0,True,1513.88,0.25,0.835820895522388,High,True,1513.88,0.0
TX000062,936.69,payment_timed_out,Net Banking,,False,0.0,0.25,0.3890183028286189,Low,False,0.0,0.0
TX000063,982.77,insufficient_funds,UPI,72.0,True,982.77,12.0,0.3890183028286189,Low,False,0.0,-982.77
TX000064,6771.65,insufficient_funds,Debit Card,72.0,True,6771.65,24.0,0.45913461538461536,Medium,False,0.0,-6771.65
TX000065,439.18,card_declined,Debit Card,,False,0.0,12.0,0.22814355099838096,Low,True,439.18,439.18
TX000066,1350.39,insufficient_funds,Debit Card,24.0,True,1350.39,24.0,0.45913461538461536,Medium,True,1350.39,0.0
TX000067,464.97,transaction_limit_exceeded,UPI,48.0,True,464.97,2.0,0.22814355099838096,Low,True,464.97,0.0
TX000068,1438.81,transaction_limit_exceeded,UPI,48.0,True,1438.81,24.0,0.22814355099838096,Low,False,0.0,-1438.81
TX000070,1056.67,card_declined,UPI,24.0,True,1056.67,0.25,0.22814355099838096,Low,False,0.0,-1056.67
TX000071,729.05,insufficient_funds,UPI,24.0,True,729.05,24.0,0.6390374331550804,High,True,729.05,0.0
TX000072,16478.59,card_declined,Credit Card,,False,0.0,0.5,0.1711340206185567,Low,False,0.0,0.0
TX000073,834.09,payment_timed_out,UPI,,False,0.0,0.25,0.532999164578112,Medium,False,0.0,0.0
TX000074,858.47,insufficient_funds,Credit Card,24.0,True,858.47,24.0,0.45913461538461536,Medium,True,858.47,0.0
TX000075,11461.32,issuer_technical_error,UPI,,False,0.0,0.25,0.47667804323094426,Medium,False,0.0,0.0
TX000076,13306.49,payment_declined_due_to_high_traffic,Debit Card,,False,0.0,0.5,0.532999164578112,Medium,False,0.0,0.0
TX000077,1383.9,card_declined,Debit Card,,False,0.0,0.25,0.029508196721311476,Low,False,0.0,0.0
TX000081,29135.55,insufficient_funds,UPI,,False,0.0,24.0,0.3890183028286189,Low,False,0.0,0.0
TX000083,1242.32,insufficient_funds,Credit Card,24.0,True,1242.32,24.0,0.3890183028286189,Low,True,1242.32,0.0
